"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Jun 04 16:32:19 GMT 2022","Sat Jun 04 16:32:31 GMT 2022","12486","test","test_conduit","TestConduit","","","test_login",""
"broken","Sat Jun 04 16:33:05 GMT 2022","Sat Jun 04 16:33:17 GMT 2022","12526","test","test_conduit","TestConduit","","","test_import_data_from_file",""
"passed","Sat Jun 04 16:32:41 GMT 2022","Sat Jun 04 16:32:47 GMT 2022","6110","test","test_conduit","TestConduit","","","test_accept_cookie",""
"broken","Sat Jun 04 16:32:33 GMT 2022","Sat Jun 04 16:32:39 GMT 2022","6467","test","test_conduit","TestConduit","","","test_logout",""
"broken","Sat Jun 04 16:32:49 GMT 2022","Sat Jun 04 16:32:55 GMT 2022","6481","test","test_conduit","TestConduit","","","test_create_new_element",""
"passed","Sat Jun 04 16:32:15 GMT 2022","Sat Jun 04 16:32:17 GMT 2022","1578","test","test_conduit","TestConduit","","","test_registration",""
"broken","Sat Jun 04 16:33:27 GMT 2022","Sat Jun 04 16:33:34 GMT 2022","6438","test","test_conduit","TestConduit","","","test_list_elements",""
"broken","Sat Jun 04 16:32:57 GMT 2022","Sat Jun 04 16:33:03 GMT 2022","6456","test","test_conduit","TestConduit","","","test_delete_element",""
"broken","Sat Jun 04 16:33:43 GMT 2022","Sat Jun 04 16:33:50 GMT 2022","6436","test","test_conduit","TestConduit","","","test_save_data_to_file",""
"broken","Sat Jun 04 16:33:35 GMT 2022","Sat Jun 04 16:33:42 GMT 2022","6413","test","test_conduit","TestConduit","","","test_pagination",""
"broken","Sat Jun 04 16:33:19 GMT 2022","Sat Jun 04 16:33:25 GMT 2022","6443","test","test_conduit","TestConduit","","","test_update_profile_picture",""
