"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 14 05:02:19 GMT 2022","Tue Jun 14 05:02:33 GMT 2022","14118","test","test_conduit","TestConduit","","","test_accept_cookie",""
"passed","Tue Jun 14 05:03:14 GMT 2022","Tue Jun 14 05:03:30 GMT 2022","16369","test","test_conduit","TestConduit","","","test_save_data_to_file",""
"passed","Tue Jun 14 05:04:19 GMT 2022","Tue Jun 14 05:04:51 GMT 2022","31526","test","test_conduit","TestConduit","","","test_create_new_element",""
"passed","Tue Jun 14 05:02:38 GMT 2022","Tue Jun 14 05:02:55 GMT 2022","17656","test","test_conduit","TestConduit","","","test_login",""
"passed","Tue Jun 14 05:05:56 GMT 2022","Tue Jun 14 05:06:12 GMT 2022","16364","test","test_conduit","TestConduit","","","test_list_elements",""
"passed","Tue Jun 14 05:02:35 GMT 2022","Tue Jun 14 05:02:36 GMT 2022","948","test","test_conduit","TestConduit","","","test_registration",""
"passed","Tue Jun 14 05:03:31 GMT 2022","Tue Jun 14 05:04:17 GMT 2022","45982","test","test_conduit","TestConduit","","","test_import_data_from_file",""
"passed","Tue Jun 14 05:02:57 GMT 2022","Tue Jun 14 05:03:12 GMT 2022","15331","test","test_conduit","TestConduit","","","test_logout",""
"passed","Tue Jun 14 05:04:52 GMT 2022","Tue Jun 14 05:05:20 GMT 2022","27560","test","test_conduit","TestConduit","","","test_delete_element",""
"passed","Tue Jun 14 05:05:22 GMT 2022","Tue Jun 14 05:05:54 GMT 2022","32255","test","test_conduit","TestConduit","","","test_update_profile_picture",""
"passed","Tue Jun 14 05:06:14 GMT 2022","Tue Jun 14 05:06:35 GMT 2022","21373","test","test_conduit","TestConduit","","","test_pagination",""
