"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Jun 04 15:42:03 GMT 2022","Sat Jun 04 15:42:05 GMT 2022","2376","test","test_conduit","TestConduit","","","test_list_elements",""
"passed","Sat Jun 04 15:41:31 GMT 2022","Sat Jun 04 15:41:33 GMT 2022","2095","test","test_conduit","TestConduit","","","test_accept_cookie",""
"broken","Sat Jun 04 15:42:07 GMT 2022","Sat Jun 04 15:42:10 GMT 2022","2357","test","test_conduit","TestConduit","","","test_pagination",""
"broken","Sat Jun 04 15:41:42 GMT 2022","Sat Jun 04 15:41:45 GMT 2022","3395","test","test_conduit","TestConduit","","","test_delete_element",""
"broken","Sat Jun 04 15:41:19 GMT 2022","Sat Jun 04 15:41:25 GMT 2022","5374","test","test_conduit","TestConduit","","","test_login",""
"passed","Sat Jun 04 15:41:16 GMT 2022","Sat Jun 04 15:41:17 GMT 2022","1248","test","test_conduit","TestConduit","","","test_registration",""
"broken","Sat Jun 04 15:41:26 GMT 2022","Sat Jun 04 15:41:29 GMT 2022","2365","test","test_conduit","TestConduit","","","test_logout",""
"broken","Sat Jun 04 15:41:59 GMT 2022","Sat Jun 04 15:42:01 GMT 2022","2390","test","test_conduit","TestConduit","","","test_update_profile_picture",""
"broken","Sat Jun 04 15:42:11 GMT 2022","Sat Jun 04 15:42:15 GMT 2022","3383","test","test_conduit","TestConduit","","","test_save_data_to_file",""
"broken","Sat Jun 04 15:41:34 GMT 2022","Sat Jun 04 15:41:40 GMT 2022","5441","test","test_conduit","TestConduit","","","test_create_new_element",""
"broken","Sat Jun 04 15:41:47 GMT 2022","Sat Jun 04 15:41:57 GMT 2022","10446","test","test_conduit","TestConduit","","","test_import_data_from_file",""
