"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jun 01 07:45:23 GMT 2022","Wed Jun 01 07:45:26 GMT 2022","3435","test","test_conduit","TestConduit","","","test_delete_element",""
"broken","Wed Jun 01 07:45:03 GMT 2022","Wed Jun 01 07:45:06 GMT 2022","2399","test","test_conduit","TestConduit","","","test_login",""
"passed","Wed Jun 01 07:45:00 GMT 2022","Wed Jun 01 07:45:01 GMT 2022","1208","test","test_conduit","TestConduit","","","test_registration",""
"passed","Wed Jun 01 07:45:12 GMT 2022","Wed Jun 01 07:45:14 GMT 2022","2098","test","test_conduit","TestConduit","","","test_accept_cookie",""
"broken","Wed Jun 01 07:45:32 GMT 2022","Wed Jun 01 07:45:34 GMT 2022","2401","test","test_conduit","TestConduit","","","test_pagination",""
"broken","Wed Jun 01 07:45:36 GMT 2022","Wed Jun 01 07:45:39 GMT 2022","3420","test","test_conduit","TestConduit","","","test_save_data_to_file",""
"broken","Wed Jun 01 07:45:15 GMT 2022","Wed Jun 01 07:45:21 GMT 2022","5484","test","test_conduit","TestConduit","","","test_create_new_element",""
"broken","Wed Jun 01 07:45:07 GMT 2022","Wed Jun 01 07:45:10 GMT 2022","2412","test","test_conduit","TestConduit","","","test_logout",""
"passed","Tue May 31 20:53:17 GMT 2022","Tue May 31 20:53:25 GMT 2022","7665","test","test_conduit","TestConduit","","","test_update_profile_picture",""
"broken","Wed Jun 01 07:45:28 GMT 2022","Wed Jun 01 07:45:30 GMT 2022","2411","test","test_conduit","TestConduit","","","test_list_elements",""
"broken","Tue May 31 20:53:01 GMT 2022","Tue May 31 20:53:11 GMT 2022","9942","test","test_conduit","TestConduit","","","test_import_data_from_file",""
