"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 16 05:57:46 GMT 2022","Thu Jun 16 05:58:00 GMT 2022","13184","test","test_conduit","TestConduit","","","test_login",""
"passed","Thu Jun 16 05:58:16 GMT 2022","Thu Jun 16 05:58:33 GMT 2022","16449","test","test_conduit","TestConduit","","","test_save_data_to_file",""
"passed","Thu Jun 16 05:59:10 GMT 2022","Thu Jun 16 05:59:30 GMT 2022","19724","test","test_conduit","TestConduit","","","test_create_new_element",""
"failed","Thu Jun 16 05:57:44 GMT 2022","Thu Jun 16 05:57:45 GMT 2022","471","test","test_conduit","TestConduit","","","test_registration",""
"passed","Thu Jun 16 05:58:01 GMT 2022","Thu Jun 16 05:58:15 GMT 2022","13366","test","test_conduit","TestConduit","","","test_logout",""
"passed","Thu Jun 16 05:59:32 GMT 2022","Thu Jun 16 05:59:57 GMT 2022","25702","test","test_conduit","TestConduit","","","test_delete_element",""
"passed","Thu Jun 16 06:00:21 GMT 2022","Thu Jun 16 06:00:32 GMT 2022","10513","test","test_conduit","TestConduit","","","test_list_elements",""
"passed","Thu Jun 16 05:57:29 GMT 2022","Thu Jun 16 05:57:42 GMT 2022","13099","test","test_conduit","TestConduit","","","test_accept_cookie",""
"passed","Thu Jun 16 06:00:33 GMT 2022","Thu Jun 16 06:00:49 GMT 2022","15454","test","test_conduit","TestConduit","","","test_pagination",""
"passed","Thu Jun 16 05:58:34 GMT 2022","Thu Jun 16 05:59:09 GMT 2022","34431","test","test_conduit","TestConduit","","","test_import_data_from_file",""
"passed","Thu Jun 16 06:00:00 GMT 2022","Thu Jun 16 06:00:20 GMT 2022","19460","test","test_conduit","TestConduit","","","test_update_profile_picture",""
