"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 24 08:11:14 GMT 2022","Fri Jun 24 08:11:28 GMT 2022","13109","test","test_conduit","TestConduit","","","test_accept_cookie",""
"passed","Fri Jun 24 08:11:44 GMT 2022","Fri Jun 24 08:11:53 GMT 2022","9324","test","test_conduit","TestConduit","","","test_logout",""
"passed","Fri Jun 24 08:13:37 GMT 2022","Fri Jun 24 08:13:44 GMT 2022","6452","test","test_conduit","TestConduit","","","test_list_elements",""
"passed","Fri Jun 24 08:11:33 GMT 2022","Fri Jun 24 08:11:42 GMT 2022","8916","test","test_conduit","TestConduit","","","test_login",""
"passed","Fri Jun 24 08:11:55 GMT 2022","Fri Jun 24 08:12:07 GMT 2022","12368","test","test_conduit","TestConduit","","","test_save_data_to_file",""
"passed","Fri Jun 24 08:12:40 GMT 2022","Fri Jun 24 08:12:56 GMT 2022","15600","test","test_conduit","TestConduit","","","test_create_new_element",""
"passed","Fri Jun 24 08:13:20 GMT 2022","Fri Jun 24 08:13:36 GMT 2022","15269","test","test_conduit","TestConduit","","","test_update_profile_picture",""
"passed","Fri Jun 24 08:12:09 GMT 2022","Fri Jun 24 08:12:39 GMT 2022","29979","test","test_conduit","TestConduit","","","test_import_data_from_file",""
"passed","Fri Jun 24 08:11:29 GMT 2022","Fri Jun 24 08:11:32 GMT 2022","2429","test","test_conduit","TestConduit","","","test_registration",""
"passed","Fri Jun 24 08:12:57 GMT 2022","Fri Jun 24 08:13:19 GMT 2022","21598","test","test_conduit","TestConduit","","","test_delete_element",""
"passed","Fri Jun 24 08:13:45 GMT 2022","Fri Jun 24 08:13:57 GMT 2022","11370","test","test_conduit","TestConduit","","","test_pagination",""
