"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 31 21:13:26 GMT 2022","Tue May 31 21:13:28 GMT 2022","1977","test","test_conduit","TestConduit","","","test_logout",""
"broken","Tue May 31 22:44:17 GMT 2022","Tue May 31 22:44:17 GMT 2022","0","test","test_conduit","TestConduit","","","test_pagination",""
"broken","Tue May 31 22:44:11 GMT 2022","Tue May 31 22:44:11 GMT 2022","0","test","test_conduit","TestConduit","","","test_list_elements",""
"passed","Tue May 31 21:13:33 GMT 2022","Tue May 31 21:13:35 GMT 2022","2203","test","test_conduit","TestConduit","","","test_accept_cookie",""
"passed","Tue May 31 21:13:18 GMT 2022","Tue May 31 21:13:20 GMT 2022","1921","test","test_conduit","TestConduit","","","test_login",""
"broken","Tue May 31 22:44:18 GMT 2022","Tue May 31 22:44:18 GMT 2022","0","test","test_conduit","TestConduit","","","test_save_data_to_file",""
"passed","Tue May 31 20:53:17 GMT 2022","Tue May 31 20:53:25 GMT 2022","7665","test","test_conduit","TestConduit","","","test_update_profile_picture",""
"broken","Tue May 31 20:53:01 GMT 2022","Tue May 31 20:53:11 GMT 2022","9942","test","test_conduit","TestConduit","","","test_import_data_from_file",""
"passed","Tue May 31 20:52:41 GMT 2022","Tue May 31 20:52:55 GMT 2022","13955","test","test_conduit","TestConduit","","","test_delete_element",""
"passed","Tue May 31 20:52:26 GMT 2022","Tue May 31 20:52:33 GMT 2022","7336","test","test_conduit","TestConduit","","","test_create_new_element",""
"passed","Tue May 31 21:13:11 GMT 2022","Tue May 31 21:13:12 GMT 2022","1124","test","test_conduit","TestConduit","","","test_registration",""
