"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Jun 04 16:54:14 GMT 2022","Sat Jun 04 16:54:25 GMT 2022","10885","test","test_conduit","TestConduit","","","test_logout",""
"passed","Sat Jun 04 16:53:52 GMT 2022","Sat Jun 04 16:53:53 GMT 2022","1013","test","test_conduit","TestConduit","","","test_registration",""
"broken","Sat Jun 04 16:54:34 GMT 2022","Sat Jun 04 16:54:45 GMT 2022","10815","test","test_conduit","TestConduit","","","test_create_new_element",""
"broken","Sat Jun 04 16:55:18 GMT 2022","Sat Jun 04 16:55:28 GMT 2022","10842","test","test_conduit","TestConduit","","","test_update_profile_picture",""
"broken","Sat Jun 04 16:55:43 GMT 2022","Sat Jun 04 16:55:54 GMT 2022","10818","test","test_conduit","TestConduit","","","test_pagination",""
"broken","Sat Jun 04 16:55:30 GMT 2022","Sat Jun 04 16:55:41 GMT 2022","10863","test","test_conduit","TestConduit","","","test_list_elements",""
"broken","Sat Jun 04 16:55:55 GMT 2022","Sat Jun 04 16:56:06 GMT 2022","10795","test","test_conduit","TestConduit","","","test_save_data_to_file",""
"broken","Sat Jun 04 16:53:55 GMT 2022","Sat Jun 04 16:54:12 GMT 2022","16868","test","test_conduit","TestConduit","","","test_login",""
"passed","Sat Jun 04 16:54:26 GMT 2022","Sat Jun 04 16:54:32 GMT 2022","6094","test","test_conduit","TestConduit","","","test_accept_cookie",""
"broken","Sat Jun 04 16:54:59 GMT 2022","Sat Jun 04 16:55:16 GMT 2022","16859","test","test_conduit","TestConduit","","","test_import_data_from_file",""
"broken","Sat Jun 04 16:54:47 GMT 2022","Sat Jun 04 16:54:57 GMT 2022","10838","test","test_conduit","TestConduit","","","test_delete_element",""
