"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Jun 04 02:29:48 GMT 2022","Sat Jun 04 02:29:59 GMT 2022","10818","test","test_conduit","TestConduit","","","test_delete_element",""
"broken","Sat Jun 04 02:30:00 GMT 2022","Sat Jun 04 02:30:11 GMT 2022","10847","test","test_conduit","TestConduit","","","test_import_data_from_file",""
"broken","Sat Jun 04 02:30:25 GMT 2022","Sat Jun 04 02:30:36 GMT 2022","10832","test","test_conduit","TestConduit","","","test_list_elements",""
"passed","Sat Jun 04 02:29:32 GMT 2022","Sat Jun 04 02:29:34 GMT 2022","2079","test","test_conduit","TestConduit","","","test_accept_cookie",""
"broken","Sat Jun 04 02:29:19 GMT 2022","Sat Jun 04 02:29:30 GMT 2022","10800","test","test_conduit","TestConduit","","","test_logout",""
"broken","Sat Jun 04 02:29:07 GMT 2022","Sat Jun 04 02:29:18 GMT 2022","10816","test","test_conduit","TestConduit","","","test_login",""
"broken","Sat Jun 04 02:29:35 GMT 2022","Sat Jun 04 02:29:46 GMT 2022","10813","test","test_conduit","TestConduit","","","test_create_new_element",""
"passed","Sat Jun 04 02:29:04 GMT 2022","Sat Jun 04 02:29:05 GMT 2022","950","test","test_conduit","TestConduit","","","test_registration",""
"broken","Sat Jun 04 02:30:37 GMT 2022","Sat Jun 04 02:30:48 GMT 2022","10788","test","test_conduit","TestConduit","","","test_pagination",""
"broken","Sat Jun 04 02:30:50 GMT 2022","Sat Jun 04 02:31:01 GMT 2022","10784","test","test_conduit","TestConduit","","","test_save_data_to_file",""
"broken","Sat Jun 04 02:30:13 GMT 2022","Sat Jun 04 02:30:23 GMT 2022","10822","test","test_conduit","TestConduit","","","test_update_profile_picture",""
