"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 10 05:36:43 GMT 2022","Fri Jun 10 05:36:43 GMT 2022","943","test","test_conduit","TestConduit","","","test_registration",""
"passed","Fri Jun 10 05:37:21 GMT 2022","Fri Jun 10 05:37:38 GMT 2022","16377","test","test_conduit","TestConduit","","","test_save_data_to_file",""
"broken","Fri Jun 10 05:39:33 GMT 2022","Fri Jun 10 05:39:51 GMT 2022","18236","test","test_conduit","TestConduit","","","test_update_profile_picture",""
"passed","Fri Jun 10 05:37:39 GMT 2022","Fri Jun 10 05:38:25 GMT 2022","45958","test","test_conduit","TestConduit","","","test_import_data_from_file",""
"passed","Fri Jun 10 05:40:11 GMT 2022","Fri Jun 10 05:40:27 GMT 2022","16312","test","test_conduit","TestConduit","","","test_pagination",""
"passed","Fri Jun 10 05:36:45 GMT 2022","Fri Jun 10 05:37:03 GMT 2022","17580","test","test_conduit","TestConduit","","","test_login",""
"passed","Fri Jun 10 05:39:53 GMT 2022","Fri Jun 10 05:40:09 GMT 2022","16331","test","test_conduit","TestConduit","","","test_list_elements",""
"passed","Fri Jun 10 05:36:35 GMT 2022","Fri Jun 10 05:36:41 GMT 2022","6091","test","test_conduit","TestConduit","","","test_accept_cookie",""
"passed","Fri Jun 10 05:38:27 GMT 2022","Fri Jun 10 05:38:58 GMT 2022","31529","test","test_conduit","TestConduit","","","test_create_new_element",""
"passed","Fri Jun 10 05:37:04 GMT 2022","Fri Jun 10 05:37:20 GMT 2022","15329","test","test_conduit","TestConduit","","","test_logout",""
"passed","Fri Jun 10 05:39:00 GMT 2022","Fri Jun 10 05:39:32 GMT 2022","31692","test","test_conduit","TestConduit","","","test_delete_element",""
