"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 13 10:02:34 GMT 2022","Mon Jun 13 10:03:06 GMT 2022","32257","test","test_conduit","TestConduit","","","test_update_profile_picture",""
"passed","Mon Jun 13 10:03:08 GMT 2022","Mon Jun 13 10:03:24 GMT 2022","16375","test","test_conduit","TestConduit","","","test_list_elements",""
"passed","Mon Jun 13 10:00:43 GMT 2022","Mon Jun 13 10:01:29 GMT 2022","46113","test","test_conduit","TestConduit","","","test_import_data_from_file",""
"passed","Mon Jun 13 09:59:30 GMT 2022","Mon Jun 13 09:59:44 GMT 2022","14254","test","test_conduit","TestConduit","","","test_accept_cookie",""
"passed","Mon Jun 13 10:02:04 GMT 2022","Mon Jun 13 10:02:32 GMT 2022","27570","test","test_conduit","TestConduit","","","test_delete_element",""
"passed","Mon Jun 13 10:03:26 GMT 2022","Mon Jun 13 10:03:45 GMT 2022","19406","test","test_conduit","TestConduit","","","test_pagination",""
"passed","Mon Jun 13 09:59:46 GMT 2022","Mon Jun 13 09:59:47 GMT 2022","998","test","test_conduit","TestConduit","","","test_registration",""
"passed","Mon Jun 13 10:00:08 GMT 2022","Mon Jun 13 10:00:23 GMT 2022","15345","test","test_conduit","TestConduit","","","test_logout",""
"passed","Mon Jun 13 10:00:25 GMT 2022","Mon Jun 13 10:00:41 GMT 2022","16385","test","test_conduit","TestConduit","","","test_save_data_to_file",""
"passed","Mon Jun 13 10:01:31 GMT 2022","Mon Jun 13 10:02:03 GMT 2022","31560","test","test_conduit","TestConduit","","","test_create_new_element",""
"passed","Mon Jun 13 09:59:49 GMT 2022","Mon Jun 13 10:00:06 GMT 2022","17718","test","test_conduit","TestConduit","","","test_login",""
