"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue May 31 20:53:01 GMT 2022","Tue May 31 20:53:11 GMT 2022","9942","test","test_conduit","TestConduit","","","test_import_data_from_file",""
"broken","Wed Jun 01 17:54:58 GMT 2022","Wed Jun 01 17:55:00 GMT 2022","2326","test","test_conduit","TestConduit","","","test_login",""
"passed","Wed Jun 01 17:54:55 GMT 2022","Wed Jun 01 17:54:56 GMT 2022","1227","test","test_conduit","TestConduit","","","test_registration",""
"passed","Tue May 31 20:53:17 GMT 2022","Tue May 31 20:53:25 GMT 2022","7665","test","test_conduit","TestConduit","","","test_update_profile_picture",""
"passed","Wed Jun 01 17:55:05 GMT 2022","Wed Jun 01 17:55:07 GMT 2022","2076","test","test_conduit","TestConduit","","","test_accept_cookie",""
"broken","Wed Jun 01 17:55:21 GMT 2022","Wed Jun 01 17:55:23 GMT 2022","2323","test","test_conduit","TestConduit","","","test_list_elements",""
"broken","Wed Jun 01 17:55:28 GMT 2022","Wed Jun 01 17:55:32 GMT 2022","3326","test","test_conduit","TestConduit","","","test_save_data_to_file",""
"broken","Wed Jun 01 17:55:24 GMT 2022","Wed Jun 01 17:55:27 GMT 2022","2318","test","test_conduit","TestConduit","","","test_pagination",""
"broken","Wed Jun 01 17:55:16 GMT 2022","Wed Jun 01 17:55:19 GMT 2022","3336","test","test_conduit","TestConduit","","","test_delete_element",""
"broken","Wed Jun 01 17:55:09 GMT 2022","Wed Jun 01 17:55:14 GMT 2022","5384","test","test_conduit","TestConduit","","","test_create_new_element",""
"broken","Wed Jun 01 17:55:01 GMT 2022","Wed Jun 01 17:55:04 GMT 2022","2328","test","test_conduit","TestConduit","","","test_logout",""
