"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 07 16:26:34 GMT 2022","Tue Jun 07 16:26:44 GMT 2022","10551","test","test_conduit","TestConduit","","","test_pagination",""
"broken","Tue Jun 07 16:24:59 GMT 2022","Tue Jun 07 16:25:19 GMT 2022","20803","test","test_conduit","TestConduit","","","test_delete_element",""
"passed","Tue Jun 07 16:23:37 GMT 2022","Tue Jun 07 16:23:43 GMT 2022","6086","test","test_conduit","TestConduit","","","test_accept_cookie",""
"passed","Tue Jun 07 16:23:45 GMT 2022","Tue Jun 07 16:23:45 GMT 2022","931","test","test_conduit","TestConduit","","","test_registration",""
"broken","Tue Jun 07 16:24:14 GMT 2022","Tue Jun 07 16:24:35 GMT 2022","20759","test","test_conduit","TestConduit","","","test_logout",""
"broken","Tue Jun 07 16:23:47 GMT 2022","Tue Jun 07 16:24:12 GMT 2022","25309","test","test_conduit","TestConduit","","","test_login",""
"broken","Tue Jun 07 16:25:49 GMT 2022","Tue Jun 07 16:26:10 GMT 2022","20799","test","test_conduit","TestConduit","","","test_update_profile_picture",""
"broken","Tue Jun 07 16:26:12 GMT 2022","Tue Jun 07 16:26:32 GMT 2022","20792","test","test_conduit","TestConduit","","","test_list_elements",""
"broken","Tue Jun 07 16:26:47 GMT 2022","Tue Jun 07 16:27:08 GMT 2022","20803","test","test_conduit","TestConduit","","","test_save_data_to_file",""
"broken","Tue Jun 07 16:24:36 GMT 2022","Tue Jun 07 16:24:57 GMT 2022","20801","test","test_conduit","TestConduit","","","test_create_new_element",""
"broken","Tue Jun 07 16:25:21 GMT 2022","Tue Jun 07 16:25:48 GMT 2022","26766","test","test_conduit","TestConduit","","","test_import_data_from_file",""
