"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 13 06:41:59 GMT 2022","Mon Jun 13 06:42:28 GMT 2022","28391","test","test_conduit","TestConduit","","","test_pagination",""
"passed","Mon Jun 13 06:40:33 GMT 2022","Mon Jun 13 06:41:05 GMT 2022","31731","test","test_conduit","TestConduit","","","test_delete_element",""
"passed","Mon Jun 13 06:41:08 GMT 2022","Mon Jun 13 06:41:40 GMT 2022","32322","test","test_conduit","TestConduit","","","test_update_profile_picture",""
"passed","Mon Jun 13 06:38:08 GMT 2022","Mon Jun 13 06:38:14 GMT 2022","6122","test","test_conduit","TestConduit","","","test_accept_cookie",""
"passed","Mon Jun 13 06:41:42 GMT 2022","Mon Jun 13 06:41:58 GMT 2022","16355","test","test_conduit","TestConduit","","","test_list_elements",""
"passed","Mon Jun 13 06:39:12 GMT 2022","Mon Jun 13 06:39:59 GMT 2022","46120","test","test_conduit","TestConduit","","","test_import_data_from_file",""
"passed","Mon Jun 13 06:38:54 GMT 2022","Mon Jun 13 06:39:11 GMT 2022","16401","test","test_conduit","TestConduit","","","test_save_data_to_file",""
"passed","Mon Jun 13 06:38:16 GMT 2022","Mon Jun 13 06:38:17 GMT 2022","960","test","test_conduit","TestConduit","","","test_registration",""
"passed","Mon Jun 13 06:40:00 GMT 2022","Mon Jun 13 06:40:32 GMT 2022","31558","test","test_conduit","TestConduit","","","test_create_new_element",""
"passed","Mon Jun 13 06:38:18 GMT 2022","Mon Jun 13 06:38:36 GMT 2022","17624","test","test_conduit","TestConduit","","","test_login",""
"passed","Mon Jun 13 06:38:37 GMT 2022","Mon Jun 13 06:38:53 GMT 2022","15336","test","test_conduit","TestConduit","","","test_logout",""
