"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jun 01 07:34:01 GMT 2022","Wed Jun 01 07:34:01 GMT 2022","0","test","test_conduit","TestConduit","","","test_logout",""
"broken","Wed Jun 01 07:34:00 GMT 2022","Wed Jun 01 07:34:00 GMT 2022","0","test","test_conduit","TestConduit","","","test_login",""
"broken","Wed Jun 01 07:34:03 GMT 2022","Wed Jun 01 07:34:03 GMT 2022","0","test","test_conduit","TestConduit","","","test_create_new_element",""
"broken","Wed Jun 01 07:34:08 GMT 2022","Wed Jun 01 07:34:08 GMT 2022","0","test","test_conduit","TestConduit","","","test_list_elements",""
"broken","Wed Jun 01 07:34:07 GMT 2022","Wed Jun 01 07:34:07 GMT 2022","0","test","test_conduit","TestConduit","","","test_update_profile_picture",""
"broken","Wed Jun 01 07:34:11 GMT 2022","Wed Jun 01 07:34:11 GMT 2022","0","test","test_conduit","TestConduit","","","test_save_data_to_file",""
"broken","Wed Jun 01 07:34:10 GMT 2022","Wed Jun 01 07:34:10 GMT 2022","0","test","test_conduit","TestConduit","","","test_pagination",""
"broken","Wed Jun 01 07:34:05 GMT 2022","Wed Jun 01 07:34:05 GMT 2022","0","test","test_conduit","TestConduit","","","test_delete_element",""
"broken","Wed Jun 01 07:34:02 GMT 2022","Wed Jun 01 07:34:02 GMT 2022","0","test","test_conduit","TestConduit","","","test_accept_cookie",""
"broken","Wed Jun 01 07:34:06 GMT 2022","Wed Jun 01 07:34:06 GMT 2022","0","test","test_conduit","TestConduit","","","test_import_data_from_file",""
"broken","Wed Jun 01 07:33:58 GMT 2022","Wed Jun 01 07:33:58 GMT 2022","0","test","test_conduit","TestConduit","","","test_registration",""
