"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue May 31 22:43:24 GMT 2022","Tue May 31 22:43:24 GMT 2022","0","test","test_conduit","TestConduit","","","test_accept_cookie",""
"broken","Tue May 31 22:43:28 GMT 2022","Tue May 31 22:43:28 GMT 2022","0","test","test_conduit","TestConduit","","","test_import_data_from_file",""
"broken","Tue May 31 22:43:32 GMT 2022","Tue May 31 22:43:32 GMT 2022","0","test","test_conduit","TestConduit","","","test_pagination",""
"broken","Tue May 31 22:43:22 GMT 2022","Tue May 31 22:43:22 GMT 2022","0","test","test_conduit","TestConduit","","","test_login",""
"broken","Tue May 31 22:43:29 GMT 2022","Tue May 31 22:43:29 GMT 2022","0","test","test_conduit","TestConduit","","","test_update_profile_picture",""
"broken","Tue May 31 22:43:16 GMT 2022","Tue May 31 22:43:16 GMT 2022","0","test","test_conduit","TestConduit","","","test_registration",""
"broken","Tue May 31 22:43:33 GMT 2022","Tue May 31 22:43:33 GMT 2022","0","test","test_conduit","TestConduit","","","test_save_data_to_file",""
"broken","Tue May 31 22:43:25 GMT 2022","Tue May 31 22:43:25 GMT 2022","0","test","test_conduit","TestConduit","","","test_create_new_element",""
"broken","Tue May 31 22:43:27 GMT 2022","Tue May 31 22:43:27 GMT 2022","0","test","test_conduit","TestConduit","","","test_delete_element",""
"broken","Tue May 31 22:43:31 GMT 2022","Tue May 31 22:43:31 GMT 2022","0","test","test_conduit","TestConduit","","","test_list_elements",""
"broken","Tue May 31 22:43:23 GMT 2022","Tue May 31 22:43:23 GMT 2022","0","test","test_conduit","TestConduit","","","test_logout",""
