"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Jun 04 16:43:09 GMT 2022","Sat Jun 04 16:43:20 GMT 2022","10751","test","test_conduit","TestConduit","","","test_list_elements",""
"broken","Sat Jun 04 16:43:34 GMT 2022","Sat Jun 04 16:43:45 GMT 2022","10727","test","test_conduit","TestConduit","","","test_save_data_to_file",""
"broken","Sat Jun 04 16:41:36 GMT 2022","Sat Jun 04 16:41:53 GMT 2022","16790","test","test_conduit","TestConduit","","","test_login",""
"passed","Sat Jun 04 16:41:33 GMT 2022","Sat Jun 04 16:41:34 GMT 2022","1071","test","test_conduit","TestConduit","","","test_registration",""
"broken","Sat Jun 04 16:42:39 GMT 2022","Sat Jun 04 16:42:56 GMT 2022","16731","test","test_conduit","TestConduit","","","test_import_data_from_file",""
"broken","Sat Jun 04 16:42:14 GMT 2022","Sat Jun 04 16:42:25 GMT 2022","10749","test","test_conduit","TestConduit","","","test_create_new_element",""
"broken","Sat Jun 04 16:41:54 GMT 2022","Sat Jun 04 16:42:05 GMT 2022","10747","test","test_conduit","TestConduit","","","test_logout",""
"broken","Sat Jun 04 16:42:57 GMT 2022","Sat Jun 04 16:43:08 GMT 2022","10726","test","test_conduit","TestConduit","","","test_update_profile_picture",""
"broken","Sat Jun 04 16:42:27 GMT 2022","Sat Jun 04 16:42:37 GMT 2022","10725","test","test_conduit","TestConduit","","","test_delete_element",""
"broken","Sat Jun 04 16:43:22 GMT 2022","Sat Jun 04 16:43:32 GMT 2022","10736","test","test_conduit","TestConduit","","","test_pagination",""
"passed","Sat Jun 04 16:42:07 GMT 2022","Sat Jun 04 16:42:13 GMT 2022","6074","test","test_conduit","TestConduit","","","test_accept_cookie",""
