"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 11 03:14:06 GMT 2022","Sat Jun 11 03:14:12 GMT 2022","6138","test","test_conduit","TestConduit","","","test_accept_cookie",""
"passed","Sat Jun 11 03:14:53 GMT 2022","Sat Jun 11 03:15:09 GMT 2022","16341","test","test_conduit","TestConduit","","","test_save_data_to_file",""
"passed","Sat Jun 11 03:14:17 GMT 2022","Sat Jun 11 03:14:34 GMT 2022","17679","test","test_conduit","TestConduit","","","test_login",""
"passed","Sat Jun 11 03:17:38 GMT 2022","Sat Jun 11 03:17:54 GMT 2022","16319","test","test_conduit","TestConduit","","","test_list_elements",""
"passed","Sat Jun 11 03:14:14 GMT 2022","Sat Jun 11 03:14:15 GMT 2022","991","test","test_conduit","TestConduit","","","test_registration",""
"passed","Sat Jun 11 03:14:36 GMT 2022","Sat Jun 11 03:14:51 GMT 2022","15317","test","test_conduit","TestConduit","","","test_logout",""
"passed","Sat Jun 11 03:17:56 GMT 2022","Sat Jun 11 03:18:12 GMT 2022","16296","test","test_conduit","TestConduit","","","test_pagination",""
"passed","Sat Jun 11 03:15:11 GMT 2022","Sat Jun 11 03:15:56 GMT 2022","45800","test","test_conduit","TestConduit","","","test_import_data_from_file",""
"passed","Sat Jun 11 03:15:58 GMT 2022","Sat Jun 11 03:16:29 GMT 2022","31488","test","test_conduit","TestConduit","","","test_create_new_element",""
"passed","Sat Jun 11 03:17:04 GMT 2022","Sat Jun 11 03:17:36 GMT 2022","32153","test","test_conduit","TestConduit","","","test_update_profile_picture",""
"passed","Sat Jun 11 03:16:31 GMT 2022","Sat Jun 11 03:17:03 GMT 2022","31604","test","test_conduit","TestConduit","","","test_delete_element",""
