"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 31 20:53:17 GMT 2022","Tue May 31 20:53:25 GMT 2022","7665","test","test_conduit","TestConduit","","","test_update_profile_picture",""
"broken","Sat Jun 04 02:19:34 GMT 2022","Sat Jun 04 02:19:37 GMT 2022","2326","test","test_conduit","TestConduit","","","test_list_elements",""
"passed","Sat Jun 04 02:19:19 GMT 2022","Sat Jun 04 02:19:21 GMT 2022","2078","test","test_conduit","TestConduit","","","test_accept_cookie",""
"broken","Sat Jun 04 02:19:42 GMT 2022","Sat Jun 04 02:19:46 GMT 2022","3341","test","test_conduit","TestConduit","","","test_save_data_to_file",""
"broken","Sat Jun 04 02:19:10 GMT 2022","Sat Jun 04 02:19:13 GMT 2022","2336","test","test_conduit","TestConduit","","","test_login",""
"broken","Tue May 31 20:53:01 GMT 2022","Tue May 31 20:53:11 GMT 2022","9942","test","test_conduit","TestConduit","","","test_import_data_from_file",""
"broken","Sat Jun 04 02:19:29 GMT 2022","Sat Jun 04 02:19:33 GMT 2022","3352","test","test_conduit","TestConduit","","","test_delete_element",""
"broken","Sat Jun 04 02:19:38 GMT 2022","Sat Jun 04 02:19:41 GMT 2022","2319","test","test_conduit","TestConduit","","","test_pagination",""
"broken","Sat Jun 04 02:19:22 GMT 2022","Sat Jun 04 02:19:28 GMT 2022","5397","test","test_conduit","TestConduit","","","test_create_new_element",""
"broken","Sat Jun 04 02:19:15 GMT 2022","Sat Jun 04 02:19:17 GMT 2022","2331","test","test_conduit","TestConduit","","","test_logout",""
"passed","Sat Jun 04 02:19:08 GMT 2022","Sat Jun 04 02:19:09 GMT 2022","925","test","test_conduit","TestConduit","","","test_registration",""
